contacto;periodo;categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;domicilio_esquina_proxima;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;domicilio_calle
00018766/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;14/01/2021;10:53:50;11.0;Villa Del Parque;ARGERICH;3348.0;;-34.5976230854648;-58.4942497589137;GCS Web;Femenino;Abierto;;
00018012/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;13/01/2021;18:04:24;6.0;Caballito;AMBROSETTI, JUAN B.;149.0;;-34.6161329980417;-58.4360205424187;GCS Web;Otros;Cerrado;21/01/2021 10:40:06;
00019868/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;14/01/2021;18:52:32;9.0;Parque Avellaneda;DELLEPIANE, LUIS, TTE. GRAL.;3833.0;;-34.6528136843222;-58.4691188593532;GCS Web;Femenino;Abierto;;
00017417/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;13/01/2021;13:50:50;6.0;Caballito;THORNE;382.0;;-34.6291078166952;-58.4510861694298;GCS Web;Femenino;Cerrado;26/01/2021 09:58:14;
00019599/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;14/01/2021;16:43:36;6.0;Caballito;HUALFIN;840.0;;-34.6238285430371;-58.4400031030774;GCS Web;Masculino;Cerrado;26/01/2021 09:59:19;
00019606/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;14/01/2021;16:45:55;6.0;Caballito;BARCO CENTENERA DEL;376.0;;-34.623557647881;-58.4407160774801;GCS Web;Masculino;Cerrado;15/01/2021 17:35:12;
00021501/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;15/01/2021;17:13:50;11.0;Villa Devoto;CERVANTES;3130.0;;-34.6129651761375;-58.5208682396481;GCS Web;Femenino;Abierto;;
00020622/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;15/01/2021;10:35:16;9.0;Parque Avellaneda;SANTANDER;3828.0;;-34.6550781681963;-58.466038678877;App BA 147;Femenino;Abierto;;
00020504/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;15/01/2021;09:40:43;12.0;Saavedra;JARAMILLO;3892.0;;-34.5551310612876;-58.4822177016028;Call Center;Femenino;Cerrado;27/01/2021 11:02:07;
00022795/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;16/01/2021;20:49:29;12.0;Villa Urquiza;ALVAREZ THOMAS AV.;3134.0;;-34.5717598581662;-58.4830432473204;GCS Web;Femenino;Cerrado;27/01/2021 10:57:44;
00021951/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;16/01/2021;01:16:33;7.0;Flores;PRIMERA JUNTA;2726.0;;-34.6401718711108;-58.4593603537801;App BA 147;Femenino;Cerrado;01/02/2021 13:31:54;
00022154/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;16/01/2021;10:43:50;10.0;Monte Castro;ALCARAZ;5157.0;;-34.6233856273511;-58.5088161693009;GCS Web;Femenino;Abierto;;
00023448/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;17/01/2021;18:41:04;13.0;Belgrano;JURAMENTO;3420.0;;-34.5680849095895;-58.4668281340365;App BA 147;Masculino;Cerrado;26/01/2021 12:22:37;
00023372/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;17/01/2021;17:10:03;11.0;Villa Santa Rita;GAONA AV.;4059.0;;-34.6239518050075;-58.4813533529987;GCS Web;Masculino;Cerrado;10/02/2021 16:17:12;
00023507/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;17/01/2021;19:39:12;13.0;Belgrano;JURAMENTO;3481.0;;-34.5684103522722;-58.4675309438002;App BA 147;Femenino;Cerrado;26/01/2021 12:18:22;
00023611/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;17/01/2021;21:05:57;13.0;Belgrano;JURAMENTO;3402.0;;-34.5680157874918;-58.4667114514074;App BA 147;Masculino;Abierto;;
00024300/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;18/01/2021;11:56:38;12.0;Villa Urquiza;PACHECO;2059.0;;-34.5761259339138;-58.481123986611;App BA 147;Masculino;Cerrado;27/01/2021 10:53:47;
00025705/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;18/01/2021;23:49:54;10.0;Monte Castro;CHIVILCOY;2116.0;;-34.6144015240559;-58.4990683430186;GCS Web;Femenino;Abierto;;
00025597/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;18/01/2021;21:42:21;5.0;Almagro;TUCUMAN;3793.0;;-34.5984811141595;-58.4187365117315;App BA 147;Femenino;Abierto;;
00025364/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;18/01/2021;18:52:43;11.0;Villa Devoto;BAHIA BLANCA;4002.0;;-34.5988702777916;-58.5114404092088;App BA 147;Femenino;Cerrado;10/02/2021 16:12:21;
00024854/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;18/01/2021;15:15:01;12.0;Saavedra;MOLDES;3643.0;;-34.5500695301149;-58.4713011409297;GCS Web;Femenino;Cerrado;27/01/2021 10:47:19;
00026472/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19/01/2021;12:46:18;12.0;Saavedra;ZAPIOLA;4300.0;;-34.5467839719441;-58.4779000540069;Call Center;Femenino;Cerrado;26/01/2021 11:58:28;
00026221/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19/01/2021;11:28:19;1.0;Monserrat;REPUBLICA BOLIVARIANA DE VENEZUELA;480.0;;-34.6137330796833;-58.3730553170972;GCS Web;Femenino;Abierto;;
00026213/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19/01/2021;11:25:59;1.0;Monserrat;BOLIVAR;518.0;;-34.6140098008929;-58.3732026878956;GCS Web;Femenino;Abierto;;
00026315/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19/01/2021;11:57:49;4.0;Barracas;VIEYTES;1174.0;;-34.6459384180042;-58.3783620433357;GCS Web;Femenino;Abierto;;
00026698/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19/01/2021;14:22:18;9.0;Parque Avellaneda;DIRECTORIO AV.;4099.0;;-34.6418988914631;-58.4807376006207;Call Center;Femenino;Cerrado;26/01/2021 13:24:52;
00026756/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19/01/2021;14:44:41;9.0;Parque Avellaneda;DIRECTORIO AV.;4059.0;;-34.6418988914631;-58.4807376006207;GCS Web;Masculino;Cerrado;26/01/2021 11:47:42;
00027308/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19/01/2021;18:38:46;10.0;Floresta;ALBERDI, JUAN BAUTISTA AV.;3620.0;;-34.6362610259447;-58.4765813616984;App BA 147;Masculino;Abierto;;
00028008/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;20/01/2021;09:14:20;15.0;Villa Ortuzar;FOREST AV.;1312.0;;-34.5766599583846;-58.4619000796087;App BA 147;Femenino;Cerrado;08/03/2021 11:14:17;
00028430/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;20/01/2021;11:51:10;4.0;Barracas;GONCALVES DIAS;1096.0;;-34.6548369413686;-58.3770639539002;Call Center;Femenino;Abierto;;
00029512/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;20/01/2021;19:29:10;12.0;Villa Urquiza;ANDONAEGUI;2940.0;;-34.5720587447107;-58.4933329987855;GCS Web;Masculino;Cerrado;27/01/2021 10:38:57;
00028184/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;20/01/2021;10:17:23;12.0;Villa Pueyrredon;CABEZON, JOSE LEON;;ESTADO PLURINACIONAL DE BOLIVIA;-34.580836139196;-58.5018296714848;GCS Web;Femenino;Cerrado;27/01/2021 10:42:50;
00030290/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;21/01/2021;10:07:11;11.0;Villa Del Parque;RIVAS, GRAL.;2540.0;;-34.6011163995894;-58.4839130733479;Call Center;Femenino;Abierto;;
00030316/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;21/01/2021;10:15:44;5.0;Almagro;PERON, JUAN DOMINGO, TTE. GENERAL;3735.0;;-34.6061437943719;-58.4195389510655;App BA 147;Masculino;Abierto;;
00033057/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;22/01/2021;15:16:37;7.0;Flores;CURAPALIGUE;183.0;;-34.6276047463078;-58.4530770653339;GCS Web;Masculino;Cerrado;26/01/2021 11:34:55;
00033605/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;22/01/2021;20:28:15;4.0;Parque Patricios;INCLAN;2568.0;;-34.6299943683164;-58.4004794348877;App BA 147;Femenino;Abierto;;
00032234/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;22/01/2021;09:50:55;12.0;Villa Urquiza;MONROE;4352.0;;-34.5698677192022;-58.4786214911199;App BA 147;Femenino;Cerrado;01/02/2021 09:59:43;
00033216/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;22/01/2021;16:27:44;15.0;Parque Chas;BURELA;1350.0;;-34.5878000992757;-58.4837615232146;GCS Web;Femenino;Abierto;;
00034222/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;23/01/2021;13:36:16;5.0;Almagro;GUARDIA VIEJA;4412.0;;-34.6001037764617;-58.4270491563188;App BA 147;Masculino;Cerrado;27/01/2021 10:37:00;
00033892/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;23/01/2021;09:38:11;12.0;Coghlan;RIVERA, PEDRO I., DR.;3916.0;;-34.565480373316;-58.4762759430594;Call Center;Femenino;Cerrado;27/01/2021 10:14:12;
00034624/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;23/01/2021;22:10:41;15.0;Agronomia;BEIRO, FRANCISCO AV.;2793.0;;-34.5940949748999;-58.4928855935458;App BA 147;Femenino;Abierto;;
00034093/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;23/01/2021;11:53:14;12.0;Saavedra;FERNANDEZ, MACEDONIO;5698.0;;-34.5644868637051;-58.5014139293119;App BA 147;Femenino;Cerrado;29/01/2021 10:52:34;
00034968/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;24/01/2021;13:53:41;13.0;Belgrano;CONESA;1860.0;;-34.5675692154537;-58.4604785715742;App BA 147;Masculino;Abierto;;
00032990/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;22/01/2021;14:52:03;15.0;Villa Ortuzar;ESTOMBA;1389.0;;-34.5778186943038;-58.4650702252098;GCS Web;Femenino;Cerrado;08/03/2021 11:12:51;
00038010/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;26/01/2021;12:46:18;8.0;Villa Lugano;ZUVIRIA;5424.0;;-34.6663344751045;-58.4830454923805;GCS Web;Femenino;Cerrado;26/01/2021 12:47:19;
00035411/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;25/01/2021;02:28:35;5.0;Almagro;GUARDIA VIEJA;4443.0;;-34.5999985562388;-58.4273493941372;GCS Web;Femenino;Cerrado;26/01/2021 11:09:11;
00034931/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;24/01/2021;13:08:22;15.0;Paternal;AÑASCO;2409.0;;-34.598977183248;-58.4601674504327;App BA 147;Femenino;Abierto;;
00035695/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;25/01/2021;10:14:58;14.0;Palermo;PARAGUAY;5441.0;;-34.577435245814;-58.4334200245906;Call Center;Femenino;Abierto;;
00034945/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;24/01/2021;13:29:03;7.0;Parque Chacabuco;COBO AV.;867.0;;-34.6409022128775;-58.4280604770848;GCS Web;Masculino;Cerrado;03/02/2021 15:50:00;
00034176/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;23/01/2021;12:44:25;5.0;Almagro;PRINGLES;990.0;;-34.6003462616268;-58.4268426477082;Call Center;Femenino;Cerrado;26/01/2021 11:19:48;
00038467/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;26/01/2021;15:38:59;9.0;Liniers;FONROUGE;242.0;;-34.6413395243586;-58.5134910891227;GCS Web;Femenino;Abierto;;
00037920/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;26/01/2021;12:09:47;9.0;Mataderos;MONTE;6550.0;;-34.6671072912848;-58.495360193701;Call Center;Femenino;Abierto;;
00036043/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;25/01/2021;12:20:49;10.0;Monte Castro;ARREGUI;4712.0;;-34.6175803560539;-58.5069371361764;GCS Web;Femenino;Abierto;;
00040116/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;27/01/2021;11:55:00;4.0;Nueva Pompeya;VEDIA, AGUSTIN DE;3084.0;;-34.652859140641;-58.4261929581596;Operador GCBA;Femenino;Abierto;;
00039714/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;27/01/2021;09:51:50;12.0;Saavedra;GARCIA DEL RIO;4044.0;;-34.554354909102;-58.4848396291892;GCS Web;Femenino;Cerrado;01/02/2021 10:08:21;
00040437/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;27/01/2021;13:45:49;7.0;Flores;LAFUENTE;562.0;;-34.6369487436752;-58.4653748044434;GCS Web;Femenino;Abierto;;
00039833/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;27/01/2021;10:39:54;7.0;Flores;LAUTARO;330.0;;-34.6310473356971;-58.4558202850871;App BA 147;Femenino;Abierto;;
00041081/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;27/01/2021;17:53:36;5.0;Almagro;SALGUERO, JERONIMO;654.0;;-34.6026909454189;-58.4194780064167;GCS Web;Femenino;Abierto;;
00041454/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;27/01/2021;21:57:23;15.0;Chacarita;ROSETI;1069.0;;-34.5819242968185;-58.457875868304;App BA 147;Masculino;Cerrado;01/02/2021 09:29:58;
00040568/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;27/01/2021;14:23:05;12.0;Villa Urquiza;CONGRESO AV.;4708.0;;-34.5675101860644;-58.4857929843329;GCS Web;Masculino;Cerrado;01/02/2021 10:15:48;
00041160/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;27/01/2021;18:27:24;10.0;Floresta;JUSTO, JUAN B. AV.;6832.0;;-34.6258426279371;-58.487542991643;GCS Web;Femenino;Abierto;;
00035686/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;25/01/2021;10:10:01;5.0;Almagro;ROCAMORA;4194.0;;-34.5992321542219;-58.4231537894196;App BA 147;Femenino;Cerrado;27/01/2021 10:39:06;
00041988/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;28/01/2021;10:21:54;6.0;Caballito;AVELLANEDA;1125.0;;-34.6176126878281;-58.4470764208929;GCS Web;Masculino;Cerrado;11/02/2021 10:42:10;
00043370/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;28/01/2021;21:19:01;14.0;Palermo;SANTA FE AV.;5398.0;;-34.575209037613;-58.435529135958;App BA 147;Femenino;Abierto;;
00043472/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;28/01/2021;23:36:48;11.0;Villa Del Parque;CARACAS;2685.0;;-34.6016887501985;-58.4784089274685;GCS Web;Femenino;Abierto;;
00041971/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;28/01/2021;10:11:18;9.0;Liniers;CAAGUAZU;6021.0;;-34.6426361232303;-58.5137919558199;GCS Web;Femenino;Abierto;;
00043324/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;INSCRIPCIÓN COMO MULTIPLICADOR VOLUNTARIO DE SALUD;SOLICITUD;28/01/2021;20:46:17;7.0;Flores;PRIMERA JUNTA;3330.0;;-34.6432504871138;-58.4638741682079;GCS Web;Masculino;Abierto;;
00042391/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;28/01/2021;12:51:47;4.0;Barracas;CALIFORNIA;3061.0;;-34.649699755438;-58.3902643658697;GCS Web;Masculino;Abierto;;
00043288/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;28/01/2021;20:20:28;7.0;Parque Chacabuco;DIAZ, AVELINO;1458.0;;-34.637673533966;-58.4407522147193;App BA 147;Masculino;Cerrado;01/02/2021 11:21:13;
00044232/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;29/01/2021;14:02:18;12.0;Villa Urquiza;BLANCO ENCALADA;5669.0;;-34.5796255305684;-58.493374062769;App BA 147;Femenino;Cerrado;14/04/2021 11:45:22;
00044056/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;29/01/2021;12:46:53;9.0;Mataderos;ZELADA;6661.0;;-34.6535931154867;-58.5107553526605;Operador GCBA;Masculino;Abierto;;
00045954/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;30/01/2021;23:28:20;6.0;Caballito;BEAUCHEF;387.0;;-34.6209421442505;-58.4339005644751;App BA 147;Femenino;Cerrado;11/02/2021 10:43:17;
00044277/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;29/01/2021;14:23:26;11.0;Villa Devoto;JUAREZ, BENITO;3740.0;;-34.6063862411801;-58.5171913879135;GCS Web;Masculino;Abierto;;
00042957/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;28/01/2021;17:23:23;5.0;Almagro;GUARDIA VIEJA;4414.0;;-34.6001015105114;-58.4270725583312;App BA 147;Masculino;Abierto;;
00044413/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;29/01/2021;15:33:55;11.0;Villa Devoto;SIMBRON;4610.0;;-34.6101560999564;-58.5141277751864;GCS Web;Femenino;Abierto;;
00044100/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;29/01/2021;13:01:12;4.0;Barracas;MONTES DE OCA, MANUEL AV.;772.0;;-34.6368006796918;-58.3748350812829;GCS Web;Masculino;Abierto;;
00043744/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;29/01/2021;10:08:41;12.0;Coghlan;NUÑEZ;3380.0;;-34.5548249100896;-58.4757874584006;App BA 147;Femenino;Cerrado;30/03/2021 11:23:00;
00047706/21;202102;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;01/02/2021;15:58:23;3.0;Balvanera;TUCUMAN;2610.0;;-34.6019697330672;-58.4038231058954;App BA 147;Masculino;Abierto;;
00046430/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;31/01/2021;17:13:46;12.0;Villa Pueyrredon;DE LOS CONSTITUYENTES AV.;4172.0;;-34.5844767912304;-58.4892956966218;App BA 147;Femenino;Cerrado;01/03/2021 12:44:45;
00046160/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;31/01/2021;11:48:20;10.0;Monte Castro;LOPE DE VEGA AV.;1499.0;;-34.6260548878711;-58.509348305093;App BA 147;Masculino;Abierto;;
00045919/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;30/01/2021;22:33:46;12.0;Villa Urquiza;GALVAN;3455.0;;-34.5632814654411;-58.4904894535229;Operador GCBA;Femenino;Abierto;;
00045916/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;30/01/2021;22:28:40;14.0;Palermo;LAFINUR;3266.0;;-34.577972551874;-58.4128396730307;Operador GCBA;Masculino;Abierto;;
00048042/21;202102;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;01/02/2021;19:10:05;10.0;Villa Luro;FALCON, RAMON L.,CNEL.;4778.0;;-34.6381073891417;-58.4944326955048;GCS Web;Femenino;Abierto;;
